package,observed_versions,script_count,referenced_by
ggrepel,0.9.6,2,03_CODE/02_physical_characterization/01_cap2_data_zoning_qc.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/13_final_map_article_ready.R
ggspatial,1.1.10,2,03_CODE/02_physical_characterization/01_cap2_data_zoning_qc.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/13_final_map_article_ready.R
janitor,not recorded in available sessionInfo,1,06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/00C_datetime_parser_validation.R
knitr,1.50,1,03_CODE/02_physical_characterization/01_cap2_data_zoning_qc.R
lubridate,1.9.4 | 1.9.5,15,03_CODE/01_preprocessing/01_build_station_hour_dataset.R | 03_CODE/02_physical_characterization/01_cap2_data_zoning_qc.R | 03_CODE/02_physical_characterization/02_cap2_distributional_analysis.R | 03_CODE/02_physical_characterization/03_cap2_temporal_spectral_wavelet.R | 03_CODE/03_classical_models/01_cap3_classical_models.R | 03_CODE/04_machine_learning/01_cap3_ml_models.R | 03_CODE/06_hybrid_tdq/01_cap3_tdq_piess_kfas.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/00C_datetime_parser_validation.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/01D_density_overlap_strategy.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/02E_quality_control_daily_density_wpd.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/03F_weibull_rayleigh_distribution_fitting.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/04G_publication_ready_figures_article1.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/05H_final_distribution_and_publication_figures_article1.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/06I_acf_pacf_temporal_dependence.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/07J_fft_spectral_analysis.R
moments,0.14.1,2,03_CODE/02_physical_characterization/02_cap2_distributional_analysis.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/02E_quality_control_daily_density_wpd.R
openxlsx,4.2.8,10,03_CODE/02_physical_characterization/02_cap2_distributional_analysis.R | 03_CODE/02_physical_characterization/03_cap2_temporal_spectral_wavelet.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/00C_datetime_parser_validation.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/01D_density_overlap_strategy.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/02E_quality_control_daily_density_wpd.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/03F_weibull_rayleigh_distribution_fitting.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/04G_publication_ready_figures_article1.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/05H_final_distribution_and_publication_figures_article1.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/06I_acf_pacf_temporal_dependence.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/07J_fft_spectral_analysis.R
patchwork,1.3.2,2,03_CODE/02_physical_characterization/01_cap2_data_zoning_qc.R | 06_PRODUCTS/01_articles/article_01_energy_reports/02_scripts/13_final_map_article_ready.R
rBayesianOptimization,not recorded in available sessionInfo,1,03_CODE/04_machine_learning/01_cap3_ml_models.R
ragg,1.4.0,3,03_CODE/02_physical_characterization/01_cap2_data_zoning_qc.R | 03_CODE/02_physical_characterization/02_cap2_distributional_analysis.R | 03_CODE/02_physical_characterization/03_cap2_temporal_spectral_wavelet.R
